Registro;PN38738BM;PN38739BM;PN38740BM;PN38741BM;PN38742BM;PN38743BM;PN38744BM;PN38745BM;PN38746BM;PN38747BM;PN38748BM;PN38749BM;PN38750BM;PN38751BM;PN38752BM;PN38753BM;PN38754BM
Fecha;Exportaciones por grupo de productos - valores FOB (millones US$) - Productos Tradicionales;Exportaciones por grupo de productos - valores FOB (millones US$) - Productos Tradicionales - Pesqueros;Exportaciones por grupo de productos - valores FOB (millones US$) - Productos Tradicionales - Agrícolas;Exportaciones por grupo de productos - valores FOB (millones US$) - Productos Tradicionales - Mineros;Exportaciones por grupo de productos - valores FOB (millones US$) - Productos Tradicionales - Petróleo y Gas Natural;Exportaciones por grupo de productos - valores FOB (millones US$) - Productos no Tradicionales;Exportaciones por grupo de productos - valores FOB (millones US$) - Productos no Tradicionales - Agropecuarios;Exportaciones por grupo de productos - valores FOB (millones US$) - Productos no Tradicionales - Pesqueros;Exportaciones por grupo de productos - valores FOB (millones US$) - Productos no Tradicionales - Textiles;Exportaciones por grupo de productos - valores FOB (millones US$) - Productos no Tradicionales - Maderas y Papeles, y sus Manufacturas;Exportaciones por grupo de productos - valores FOB (millones US$) - Productos no Tradicionales - Químicos;Exportaciones por grupo de productos - valores FOB (millones US$) - Productos no Tradicionales - Minerales no Metálicos;Exportaciones por grupo de productos - valores FOB (millones US$) - Productos no Tradicionales - Sidero - Metalúrgicos y Joyería;Exportaciones por grupo de productos - valores FOB (millones US$) - Productos no Tradicionales - Metal - Mecánicos;Exportaciones por grupo de productos - valores FOB (millones US$) - Productos no Tradicionales - Otros;Exportaciones por grupo de productos - valores FOB (millones US$) - Otros;Exportaciones por grupo de productos - valores FOB (millones US$) - Total Exportaciones
May-23;3592.296914;27.83999092;29.9544961;3288.314202;246.1882246;1375.5625;523.4393;178.0396;129.5082;23.833;182.9715;103.7425;151.2058;68.9305;13.8921;16.13969037;4983.999104
Jun-23;4320.289566;23.74645031;46.47981996;3956.359781;293.7035148;1267.8396;514.0475;138.8745;126.7269;22.5441;171.4568;104.8786;122.6281;54.9934;11.6897;10.91883564;5599.048002
Jul-23;3806.814484;30.35230084;71.55616936;3472.429978;232.476035;1342.1667;635.1856;106.877;144.9678;21.3638;154.8934;81.741;129.5192;57.3275;10.2914;11.0610067;5160.04219
Ago-23;3985.813885;23.43272051;123.1631283;3600.990912;238.227124;1488.7077;770.3731;108.8902;128.5284;23.5649;187.9114;73.0757;121.9575;61.3247;13.0818;18.8220552;5493.34364
Sep23;4319.457377;89.05753192;125.7450803;3708.654193;396.0005713;1498.5684;780.8568;101.2076;123.4638;25.111;171.356;110.7662;120.6843;51.8798;13.2429;23.02520146;5841.050978
Oct-23;4131.894575;49.42223372;140.2150231;3647.673814;294.5835042;1792.7917;1074.2315;102.4593;126.8107;26.7886;179.4652;84.6044;132.1546;53.6798;12.5976;18.32127773;5943.007553
Nov-23;4065.851809;27.16750719;134.2349186;3588.243773;316.2056102;1890.3992;1172.436;96.1775;133.5804;22.6324;168.3941;102.5514;107.2728;75.0597;12.2949;13.06267451;5969.313684
Dic-23;4650.320324;71.00088953;168.547599;4125.360942;285.4108942;1831.0501;1117.0145;117.6467;137.9518;20.0037;163.4556;89.8105;105.7832;66.4359;12.9482;24.72170474;6506.092129
Ene-24;3708.044561;146.4925643;94.13665938;3111.442068;355.9732692;1676.3015;970.3768;101.272;125.0439;19.4734;161.5885;94.0498;145.8296;47.8454;10.8221;16.52567217;5400.871733
Feb-24;4116.897952;252.3526573;59.00551305;3535.688368;269.851413;1351.5204;664.9967;124.2821;113.1293;20.3303;167.4668;74.2128;130.0817;46.395;10.6257;21.09751454;5489.515866
Mar-24;4361.213035;144.662548;27.44264756;3872.468631;316.6392085;1328.7241;558.198;119.6132;124.5461;24.7521;183.0441;90.2271;168.1541;50.5385;9.6509;19.31061352;5709.247749
Abr-24;3940.974604;39.82573008;21.48613033;3507.616852;372.0458919;1200.9785;491.1986;93.6997;128.6336;22.6484;165.5406;86.1247;144.2674;58.628;10.2375;22.40652581;5164.35963
May-24;4777.533128;139.77224;36.6334723;4276.305366;324.8220506;1459.4814;614.4286;123.0775;146.0943;28.6806;194.8526;88.5218;174.3712;79.1389;10.3159;20.4173643;6257.431893
Jun-24;4702.327339;349.7015351;64.44032407;3951.27646;336.9090195;1503.1168;720.3617;115.7829;142.4423;24.8578;181.3102;78.6514;169.5782;59.5465;10.5858;14.50819652;6219.952335
Jul-24;5060.881355;519.9573078;141.0728838;4106.041338;293.8098255;1815.954;940.8155;147.8732;153.316;24.9238;196.9188;97.2528;187.6682;55.7187;11.467;15.42734359;6892.262699
Ago-24;5091.465633;338.4324163;181.6526302;4286.851166;284.5294202;1766.1381;933.7971;126.4036;138.0227;22.2746;200.2034;106.2505;178.1884;50.8223;10.1755;14.86990362;6872.473637
Sep24;4972.827032;140.8695049;192.484822;4265.256775;374.2159301;1893.2495;1068.1789;128.7141;138.4464;28.3889;194.7774;89.2619;160.9142;74.3527;10.215;13.66665449;6879.743187
Oct-24;4408.467764;56.71523743;183.6873185;3866.74171;301.3234985;2124.3711;1358.8573;89.8998;136.0108;25.3585;193.4625;68.1688;168.5638;70.702;13.3476;18.56219204;6551.401056
Nov-24;5383.484756;72.36991713;143.2777351;4811.313611;356.5234923;2254.6906;1483.2976;72.4431;136.2887;25.1531;182.6011;83.2602;189.9864;70.7451;10.9153;19.47094732;7657.646303
Dic-24;4927.337132;86.76349542;83.31822289;4342.738298;414.5171157;2130.6725;1359.738;75.5107;154.6732;18.8224;170.1721;91.7848;178.4033;70.7483;10.8197;19.01382524;7077.023457
Ene-25;5021.703167;233.3204665;59.95836783;4409.744392;318.6799401;2043.8675;1215.8701;78.2873;137.7709;19.8206;207.9429;81.1832;182.115;111.6997;9.1778;21.10299481;7086.673662
Feb-25;4832.28381;326.1242123;27.85239583;4099.263;379.0442017;1630.0383;824.1658;137.3509;144.074;20.0923;175.0369;74.604;191.8343;53.4235;9.4566;18.35739663;6480.679506
Mar-25;5579.507155;250.6874971;28.0313331;4973.351417;327.4369072;1624.5919;709.4957;175.8753;140.5555;24.2994;218.6562;82.8474;202.6479;58.8855;11.329;15.63068768;7219.729742
Abr-25;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
May-25;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
